alpha,beta,gamma,delta
0.5490778273977763,-0.4951234288559434,0.5781708931032525,0.38851396838519325
0.5490778273977763,-0.4951234288559434,0.5781708931032525,0.38851396838519325
-0.1404717057087877,0.07036651820149802,1.6160281299569392,1.1061248089389364
-0.07635977813900255,0.07307222349449508,1.6689374457131296,1.1108209811866978
-0.06829874372966308,0.07557827379426753,1.6641946233761118,1.1156688423955983
-0.046830846530565615,0.08427533387422996,1.6859791565564002,1.1311004065125267
0.01252234533645966,0.11103757613408807,1.7220726256361945,1.1895589807436477
0.19217375975989698,0.14458624900862765,1.9531160326889632,1.3101461282552234
0.19217375975989698,0.14458624900862765,1.9531160326889632,1.3101461282552234
-0.02754138394771061,-0.0409007635736958,4.811854951890397,3.4879015332409047
-0.03233089350099666,-0.03648606140772005,4.850960948467951,3.533118505384253
-0.018570428268881115,-0.05600777133529951,4.886567474302195,3.533335048769024
-0.018570428268881115,-0.05600777133529951,4.886567474302195,3.533335048769024
-0.03630367883260977,-0.0531055538121579,5.1862914535273115,3.682084450322651
-0.0378667522136338,-0.05567271141602836,5.400022589928311,3.891062317074963
-0.07052287491332587,-0.039991352224140964,5.427946976915727,3.8993183292765727
-0.10617680087785702,-0.07086647985794,6.072872603514316,4.1887282721388654
-0.1515616465676933,-0.1719050570508431,7.423815710748683,5.245474200789012
-0.24522266323422062,-0.2711576929378315,9.174355633270906,6.84622383302969
-0.24870654547712429,-0.2676446223843496,9.170035474506538,6.841690498207191
-0.2690319156340698,-0.2656104607898247,9.054919164883803,6.818234283226265
-0.24222869496006763,-0.26589469701773566,8.770288367067188,6.774286558170104
-0.21395088466590667,-0.23554952657164369,7.826559683534812,6.619614395180739
-0.22825425594422857,-0.21670094684410235,7.117745047336072,7.456263947481935
-0.2484946319107643,-0.24987406041770183,7.49898948037515,7.531615448888968
-0.24783295897218985,-0.21559506373576737,7.199644725148223,7.523183776576679
-0.23264025358826407,-0.24524177126760957,7.282712548719052,7.533754314911543
-0.2646191920971696,-0.2599935418368578,7.861961433880184,8.0544904372435
-0.2646191920971696,-0.2599935418368578,7.861961433880184,8.0544904372435
-0.25095352174291286,-0.25640730152606395,8.004981850290289,7.5928037755003395
-0.2753539413172297,-0.22913966590834567,7.876640672194765,7.5654190888077
-0.24777578303679693,-0.3074699084051376,8.685399845339262,7.494155875120126
-0.2894557413392984,-0.2266767128207595,8.31737889117847,7.260352288271971
-0.290424774054064,-0.22730410943431067,8.404905096251078,7.295452621075215
-0.2642754132423594,-0.233461879842677,8.111458906158825,7.31370648873104
-0.24635827147958192,-0.2579307581370008,8.048848584599444,7.482695419939783
-0.23164167842796105,-0.24644930783173025,7.924500027268747,7.415779443268292
-0.24158882289405473,-0.23968663242925942,7.88044792486064,7.428902182881093
-0.25973128989850036,-0.23412374217214088,7.54794201967694,7.675017806735635
-0.26096803220325804,-0.23964472440113835,7.9660647827473765,7.331205647656264
-0.2329407033074958,-0.23455012989151178,7.819032939896928,7.070746472046888
-0.2671089985104361,-0.21485081748771898,7.791289858593387,7.407307175503397
-0.27875833804176947,-0.21309840463416654,7.758178872568524,7.3382334367724935
-0.2233336269167405,-0.24018546686015194,7.669093309027107,7.094310498548037
-0.26220073363343444,-0.23615523387491735,8.150763311585747,7.273432947361322
-0.2397909698735397,-0.25925757325806165,8.256001834444076,7.182896586124338
-0.2397909698735397,-0.25925757325806165,8.256001834444076,7.182896586124338
-0.25126598971106195,-0.2226119054087288,7.9136243703455555,6.9545835994804435
-0.26790984327346484,-0.24388933807109753,8.52850306345236,7.040587945637198
-0.30804072811256566,-0.18044188727759872,8.365927282507986,6.927302220891273
-0.2796095668447607,-0.2222885897658057,8.681860056292301,7.038080838066659
-0.23780825845108408,-0.2729990637099949,7.894042007083726,7.105209759130833
-0.23247004808575922,-0.2726299971896829,7.90958563558738,7.119699186785656
-0.22458132637028633,-0.27382965007357535,7.897192185943695,7.30205053408418
-0.24753206376306158,-0.2557263765842758,8.018820398015412,7.24890652974942
-0.23783452300750407,-0.29072978164994717,8.043871678626788,7.455833066487893
-0.2557143439935042,-0.24387172540664856,7.9670684075852405,7.024180714694181
-0.24952555056472792,-0.24067141584902216,7.646981170492697,7.314374418925031
-0.2564178103269924,-0.23783479730910248,7.175341795572756,8.187729749189199
-0.22949355917103745,-0.2420245361708627,7.0701109308390615,7.768268988116426
-0.25517723398055503,-0.2391551534903951,7.924320784650886,7.337737872001927
-0.24567106052424711,-0.2458187691968775,7.958009154308233,7.148490151879729
-0.24567106052424711,-0.2458187691968775,7.958009154308233,7.148490151879729
-0.25282332815143377,-0.2483315618665014,8.171406496473592,7.059103441028113
-0.2643482269964634,-0.22676171618652885,8.233180329247949,7.073406161256164
-0.24640568670393945,-0.24565460060702343,8.141562542875844,6.925357648391785
-0.235086349319158,-0.27485917690286793,8.489665101736662,6.779591549695212
-0.26159362808357656,-0.21103117798238422,7.6057664142142976,7.295776918447891
-0.2287836806014684,-0.2632398534838915,7.190095466179068,7.924638997899542
